Operation,Certificate,ProcessingTime(ms),Status
Issue,CERT: 26611,10.439,Issued
Issue,CERT: 80570,10.514,Issued
Issue,CERT: 52513,10.392,Issued
Issue,CERT: 7427,10.304,Issued
Issue,CERT: 89714,10.554,Issued
Issue,CERT: 53328,10.112,Issued
Issue,CERT: 98193,10.405,Issued
Issue,CERT: 2160,10.507,Issued
Issue,CERT: 64580,10.483,Issued
Issue,CERT: 74313,10.360,Issued
Issue,CERT: 13491,10.229,Issued
Issue,CERT: 19223,10.306,Issued
Issue,CERT: 79817,10.703,Issued
Issue,CERT: 37125,10.386,Issued
Issue,CERT: 36161,10.358,Issued
Issue,CERT: 6290,10.495,Issued
Issue,CERT: 69807,10.442,Issued
Issue,CERT: 82426,10.447,Issued
Issue,CERT: 75364,10.489,Issued
Issue,CERT: 18110,10.401,Issued
Issue,CERT: 28905,10.087,Issued
Issue,CERT: 42131,10.365,Issued
Issue,CERT: 83643,10.557,Issued
Issue,CERT: 52809,10.340,Issued
Issue,CERT: 19336,10.504,Issued
Issue,CERT: 37479,10.514,Issued
Issue,CERT: 5898,10.482,Issued
Issue,CERT: 26371,10.418,Issued
Issue,CERT: 94624,10.516,Issued
Issue,CERT: 45327,10.440,Issued
Issue,CERT: 6896,10.430,Issued
Issue,CERT: 35262,10.408,Issued
Issue,CERT: 15756,10.451,Issued
Issue,CERT: 31547,10.214,Issued
Issue,CERT: 49944,10.478,Issued
Issue,CERT: 74294,10.520,Issued
Issue,CERT: 85613,10.199,Issued
Issue,CERT: 72353,10.376,Issued
Issue,CERT: 18106,10.356,Issued
Issue,CERT: 47595,10.489,Issued
Issue,CERT: 61025,10.475,Issued
Issue,CERT: 52909,10.389,Issued
Issue,CERT: 74320,10.445,Issued
Issue,CERT: 15150,10.544,Issued
Issue,CERT: 69566,10.424,Issued
Issue,CERT: 34024,10.443,Issued
Issue,CERT: 22745,10.094,Issued
Issue,CERT: 80039,10.519,Issued
Issue,CERT: 93732,10.429,Issued
Issue,CERT: 80113,10.423,Issued
Issue,CERT: 40393,10.458,Issued
Issue,CERT: 35278,10.494,Issued
Issue,CERT: 97599,10.354,Issued
Issue,CERT: 10261,10.541,Issued
Issue,CERT: 95707,10.186,Issued
Issue,CERT: 50522,10.536,Issued
Issue,CERT: 33562,10.446,Issued
Issue,CERT: 6932,10.493,Issued
Issue,CERT: 59818,10.350,Issued
Issue,CERT: 66220,10.472,Issued
Issue,CERT: 75466,10.493,Issued
Issue,CERT: 76999,10.530,Issued
Issue,CERT: 66714,10.330,Issued
Issue,CERT: 61532,10.411,Issued
Issue,CERT: 95041,10.489,Issued
Issue,CERT: 83269,10.434,Issued
Issue,CERT: 37665,10.072,Issued
Issue,CERT: 920,10.506,Issued
Issue,CERT: 80494,10.322,Issued
Issue,CERT: 26826,10.441,Issued
Issue,CERT: 95729,10.412,Issued
Issue,CERT: 45335,10.614,Issued
Issue,CERT: 50846,10.143,Issued
Issue,CERT: 23073,10.470,Issued
Issue,CERT: 260,10.480,Issued
Issue,CERT: 30004,10.488,Issued
Issue,CERT: 5140,10.162,Issued
Issue,CERT: 48426,10.474,Issued
Issue,CERT: 34794,10.493,Issued
Issue,CERT: 7578,10.429,Issued
Issue,CERT: 7755,10.465,Issued
Issue,CERT: 19580,10.575,Issued
Issue,CERT: 58730,10.408,Issued
Issue,CERT: 14992,10.434,Issued
Issue,CERT: 57999,10.431,Issued
Issue,CERT: 92968,10.360,Issued
Issue,CERT: 42958,10.396,Issued
Issue,CERT: 7187,10.301,Issued
Issue,CERT: 51208,10.414,Issued
Issue,CERT: 87790,10.478,Issued
Issue,CERT: 49780,10.087,Issued
Issue,CERT: 3705,10.583,Issued
Issue,CERT: 28198,10.599,Issued
Issue,CERT: 22754,10.451,Issued
Issue,CERT: 20638,10.434,Issued
Issue,CERT: 95984,10.532,Issued
Issue,CERT: 91023,10.480,Issued
Issue,CERT: 891,10.575,Issued
Issue,CERT: 73990,10.570,Issued
Issue,CERT: 76082,10.476,Issued
Issue,CERT: 3974,10.283,Issued
Issue,CERT: 9623,10.458,Issued
Issue,CERT: 37590,10.494,Issued
Issue,CERT: 21772,10.367,Issued
Issue,CERT: 75409,10.467,Issued
Issue,CERT: 1033,10.390,Issued
Issue,CERT: 25253,10.400,Issued
Issue,CERT: 48431,10.435,Issued
Issue,CERT: 61795,10.180,Issued
Issue,CERT: 50735,10.473,Issued
Issue,CERT: 68939,10.411,Issued
Issue,CERT: 2536,10.478,Issued
Issue,CERT: 85536,10.411,Issued
Issue,CERT: 33852,10.314,Issued
Issue,CERT: 94464,10.505,Issued
Issue,CERT: 4506,10.461,Issued
Issue,CERT: 60915,10.333,Issued
Issue,CERT: 99742,10.460,Issued
Issue,CERT: 73859,10.513,Issued
Issue,CERT: 33442,10.367,Issued
Issue,CERT: 7465,10.388,Issued
Issue,CERT: 19788,10.386,Issued
Issue,CERT: 98010,10.446,Issued
Issue,CERT: 50133,10.501,Issued
